,tag_count
rock,3198
pop,1934
country,1280
classic rock,1105
hard rock,1022
heavy metal,619
Progressive rock,574
folk,572
jazz,496
soul,454
80s,374
alternative,347
thrash metal,326
female vocalists,293
punk rock,257
christmas,247
new wave,244
Hip-Hop,232
blues,229
Grunge,214
alternative rock,208
cover,206
electronic,204
indie,203
reggae,200
punk,188
britpop,177
singer-songwriter,171
rap,164
70s,163
rnb,144
hip hop,132
christian,128
Progressive metal,127
industrial,121
oldies,113
60s,105
Nu Metal,102
Soundtrack,99
Southern Rock,92
blues rock,92
Power metal,90
Disco,90
metal,87
comedy,86
soft rock,86
symphonic metal,79
worship,74
synthpop,74
dance,72
funk,69
acoustic,62
easy listening,60
AOR,58
west coast,57
Alt-country,56
Love Metal,54
gospel,51
metalcore,51
british,49
new age,47
death metal,45
vocal,44
horror punk,42
pop rock,41
Jam,41
trip-hop,37
chillout,36
90s,36
swing,35
rockabilly,34
acid jazz,34
Love,33
Gangsta Rap,33
Psychedelic Rock,32
indie rock,32
bluegrass,31
black metal,29
folk rock,29
heard on Pandora,28
james taylor,28
Fleetwood Mac,28
seen live,27
funk metal,27
industrial metal,26
glam rock,25
ska,25
celtic,24
jam band,24
pop punk,23
americana,23
goregrind,22
piano,22
Gothic Metal,22
Canadian,22
post-hardcore,21
post-punk,21
beautiful,21
covers,21
Dan Fogelberg,20
alternative metal,20
australian,19
guitar virtuoso,19
Contemporary Gospel,18
Rock and Roll,18
fip,17
experimental,17
Ballad,17
chill,17
psychopathic,16
favorites,16
christian rock,16
sad,16
latin,16
Chris Brown,15
r&b,15
Classical,14
progressive death metal,14
j-pop,14
Dirty South,14
favorite songs,14
psychedelic,14
Funk Rock,13
Josh Groban,13
classic country,13
power pop,13
other,13
romantic,13
House,12
italian,12
Gothic Rock,12
female vocalist,12
Latin Rock,11
Disney,11
irish,11
Morrissey,11
michael bolton,11
Jazz Rock,11
hair metal,11
jazz vocal,11
Demi Lovato,11
female,11
folk-rock,10
strings organs rubber wind,10
rhythm and blues,10
rock n roll,10
adult contemporary,10
sexy,10
industrial rock,10
Hillsong,10
country rock,10
sting,10
guitar,9
electronica,9
live,9
vugube62,9
Drake,9
justin bieber,9
Unreleased,9
parody,9
indie pop,9
dancehall,9
Smooth Jazz,9
world,9
emo,9
Awesome,8
Tom Jones,8
West Coast Rap,8
dream pop,8
oriental metal,8
Tom Waits,8
gino vannelli,8
6 of 10 stars,8
screamo,8
hardcore,8
westlife,8
50s,8
amayzes loved,8
contemporary christian,8
country christmas,8
pop music tag,8
melancholy,8
calypso,8
listened,7
radiohead,7
elton john,7
hiphop,7
80s Pop,7
Mellow,7
John Denver,7
rhythum and blues tag,7
b-side,7
alt country,7
Marianne Faithfull,7
worship and praise,7
jason mraz,7
Mariah Carey,7
golden age hip hop,7
christy moore,7
racism,7
mod,7
steely dan,7
Lady Gaga,6
israeli,6
Cross Rhythms,6
catchy,6
eclectonia,6
american,6
Cat Stevens,6
bon jovi,6
happy,6
relax,6
test,6
childrens,6
instrumental,6
r kelly,6
Contemporary Gospel Tag,6
male vocalist,6
Horrorcore,6
counting crows,6
praise and worship,6
amazing,5
heartland rock,5
Lana Del Rey,5
synth pop,5
prince,5
neo-classical metal,5
Ween,5
dino,5
folkrock,5
Kris Kristofferson,5
vocal jazz,5
Jam Bands,5
Hanson,5
Soundtracks,5
Traditional Country,5
male vocalists,5
Modern Talking,5
dubstep,5
funny,5
gucci mane,5
Reggaeton,5
123 drippy sappy,5
RB,5
lauraann163,5
Experimental Rock,5
Miley Cyrus,5
4 of 10 stars,5
madchester,5
Nu-metal,5
High School Musical,5
praise & worship,5
rainbowfreezepoppers,5
winter,5
smooth,5
Fall Out Boy,5
roktronic,5
freedom,5
one direction,5
east coast rap,5
jackson browne,4
Xscape,4
detroit,4
Lone Palm Coffee,4
Kirk Franklin,4
Jimmy Buffett,4
beach music,4
OPM,4
Ally McBeal,4
Retro,4
proto-punk,4
Tinsel,4
juggalo,4
new romantic,4
Roctronik,4
title is a full sentence,4
melancholic,4
Primus,4
poprock,4
musicals,4
duets,4
Neo Soul,4
Kylie Minogue,4
love songs,4
electropop,4
hand-picked country,4
nicki minaj,4
Rock  Roll,4
rapcore,4
Usher,4
outlaw country,4
